name,date_published,citation,source,abstract
Investigating the clinical significance of body composition changes in patients undergoing chemoradiation for oropharyngeal cancer using analytic morphomics,2016-04-11,Springerplus. 2016 Apr 11;5:429. doi: 10.1186/s40064-016-2076-x. eCollection 2016.,http://www.ncbi.nlm.nih.gov/pubmed/27104117,BACKGROUND The purpose is to investigate the clinical significance of body morphomics changes in stage III-IV oropharyngeal cancer patients during concurrent chemoradiotherapy (CRT). METHODS Fifty patients who underwent CRT were selected for body composition analyses by either availability of pre/post treatment DEXA scans or a novel CT-based approach of body morphomics analysis (BMA). BMA changes (lean psoas and total psoas area) were compared to total lean body mass changes by DEXA scans using two-sample t tests. Pearson correlation was used to compare the BMA measures to head and neck specific quality of life outcomes. Cox hazards model was used to predict mortality and tumor recurrence. RESULTS Clinically significant declines in total psoas area and lean body mass of similar magnitude were observed in both BMA and DEXA cohorts after CRT. Loss of psoas area (P &#60; 0.05) was associated with greater frailty and mobility issues (3 out of 15 UWQ)L domains). Total psoas area is more sensitive for local recurrence than weight changes and T-stage on multivariate analyses. CONCLUSIONS BMA specifically evaluating psoas area appears to correlate with head and neck cancer quality of life physical domains. Pre- and post-treatment total psoas area at L4 appears prognostic for tumor recurrence.
Factors Influencing Specificity and Sensitivity of Injury Severity Prediction (ISP) Algorithm for AACN,2016-03-25,International Journal of Automotive Engineering. Vol. 7 (2016 Mar 25) No. 1 p. 15-22,https://www.jstage.jst.go.jp/article/jsaeijae/7/1/7_20164079/_article,"To improve the accuracy of Injury Severity Prediction in the event of vehicle crash, a new methodology is proposed using the US vehicle accident database (NASS-CDS). This proposed method is an extension of the base algorithm introduced by Kononen et al. in which, some of the additional variables were introduced and branched logistic regression methodology was used. Results suggest that the proposed branching method has some advantage over the base algorithm due to better linearization of the complex multidimensional non-linear relationship of the input and output variables."
Psoas muscle size as a frailty measure for open and transcatheter aortic valve replacement,2016-03-00,J Thorac Cardiovasc Surg. 2016 Mar&#59;151(3)&#58;745-50. doi&#58; 10.1016/j.jtcvs.2015.11.022. Epub 2015 Nov 21,http://www.ncbi.nlm.nih.gov/pubmed/26896357,"OBJECTIVE To evaluate the use of sarcopenia as a frailty assessment tool for patients with aortic stenosis undergoing surgical aortic valve replacement (SAVR) or transcatheter aortic valve replacement (TAVR). METHODS The study cohort comprised 295 patients who underwent either SAVR (n &#61; 156) or TAVR (n &#61; 139). The mean preoperative Society of Thoracic Surgeons mortality risk score was 4.7&#37;. Preoperative computed tomography (CT) scans were used to calculate gender-standardized total psoas area (TPA), as a validated measure of sarcopenia. RESULTS For the entire cohort, independent predictors of a composite measure of 30-day death, stroke, renal failure, prolonged ventilation, and deep wound infection included preoperative STS major morbidity and mortality risk score (odds ratio [OR], 91.1&#59; P &#61; .02) and TPA (OR, 0.5&#59; P &#61; .024). Two-year survival was 85.7&#37; in patients with sarcopenia, compared with 93.8&#37; in patients without sarcopenia (P &#61; .02). Independent predictors of late survival included TPA (hazard ratio, 0.47&#59; P &#61; .02). Male sex (OR, 0.52&#59; P &#61; .04) and TPA (OR, 0.6&#59; P &#61; .001) were predictive of high resource utilization. A separate analysis by treatment group found that TPA predicted high resource utilization after SAVR (OR, 0.4&#59; P &#60; .001), but not after TAVR (P &#61; .66). CONCLUSIONS CT scan-derived measurement of TPA as an objective frailty assessment tool predicts early morbidity and mortality, high resource utilization, and late survival after treatment for aortic stenosis. The correlation observed between sarcopenia and resource utilization after SAVR versus TAVR suggests that this simple and reproducible risk assessment tool also may help identify those patients who will derive optimal benefit from catheter-based therapy."
Analytic morphomics&#58; a novel CT imaging approach to quantify adipose tissue and muscle composition in allogeneic hematopoietic cell translation,2016-03-00,Bone Marrow Transplant. 2016 Mar&#59;51(3)&#58;446-50. doi&#58; 10.1038/bmt.2015.267. Epub 2015 Nov 9.,http://www.nature.com/bmt/journal/v51/n3/full/bmt2015267a.html,Abstract unavailible
"Abdominal Adiposity, body composition and survival after liver transplantation",2016-03-00,Clin Transplant. 2016 Mar&#59;30(3)&#58;289-94. doi&#58; 10.1111/ctr.12688. Epub 2016 Feb 13.,http://www.ncbi.nlm.nih.gov/pubmed/26717257,"BACKGROUND Current measures of obesity do not accurately describe body composition. Using cross-sectional imaging, objective measures of musculature and adiposity are possible and may inform efforts to optimize liver transplantation outcomes. METHODS >Abdominal visceral fat area and psoas muscle cross-sectional area were measured on CT scans for 348 liver transplant recipients. After controlling for donor and recipient characteristics, survival analysis was performed using Cox regression. RESULTS Visceral fat area was significantly associated with post-transplant mortality (p &#60; 0.001&#59; HR &#61; 0.91 per cm(2), 95&#37; CI&#58; 0.88-0.94). Among patients with smaller TPA, the patients with high visceral fat area had 71.8&#37; one-yr survival compared to 81.8&#37; for those with low visceral fat area (p &#61; 0.15). At five yr, the smaller muscle patients with high visceral fat area had 36.9&#37; survival compared to 58.2&#37; for those with low visceral fat area (p &#61; 0.023). CONCLUSIONS Abdominal adiposity is associated with surival after liver transplantation, especially in patients with small trunk muscle size. When coupled with trunk musculature, abdominal adiposity offers direct characterization of body composition that can aid preoperative risk evaluation and inform transplant decision-making."
Limitations of the barcelona clinic liver cancer staging system with a focus on transarterial chemoembolization as a key modality of treatment of hepatocellular carcinoma,2016-02-00,Clinical Liver Disease. 2016 February&#59; 7(2)&#58;32-35.,http://onlinelibrary.wiley.com/doi/10.1002/cld.530/full,"Hepatocellular carcinoma (HCC) is the most common primary liver malignancy and is one of the leading causes of cancer-related death in the United States. Prognosis of HCC remains poor, driven by advanced tumor burden at diagnosis in two-thirds of cases. Cancer staging systems are important for prognostication and determination of therapy. HCC has unique characteristics for which it is more difficult to use standard cancer staging strategies. First, there is enormous heterogeneity with regard to patient characteristics and HCC biology. Second, in the Western world, the majority of HCC occurs in patients with significant underlying liver disease, making liver function and functional status important in determining outcome. Lastly, tissue diagnosis is not often required, and radiological diagnosis is often the standard. Various staging systems (Table 1) have been proposed to incorporate these variables, but there is no universal worldwide consensus. Two of these staging systems [Barcelona Clinic Liver Cancer (BCLC) and Groupe d&#39;ETUDE et de Traitement du Carcinome Hepatocellulaire (GRETCH)] include performance status, with the BCLC being validated in various geographical settings and with very large data sets. As a result, the BCLC staging system is the most accepted system in the United States, having received the endorsement of both the American Association for the Study of Liver Diseases and the European Association for the Study of Liver Diseases and the European Association for the Study of Liver diseases (Figure 1). Its main advantage is the unique way in which it provides therapy guidelines based on staging, making it a very useful clinical tool."
Sarcopenia and failure to rescue following liver transplantation,2015-12-00,Clin Transplant. 2015 Dec&#59;29(12)&#58;1076-80. doi&#58; 10.1111/ctr.12629. Epub 2015 Oct 15.,http://www.ncbi.nlm.nih.gov/pubmed/26358578,"INTRODUCTION Sarcopenic liver transplant recipients have higher rates of mortality, but mechanisms underlying these rates remain unclear. Failure to rescue (FTR) has been shown to be a primary driver of mortality following major general and vascular surgery. We hypothesized that FTR is common in sarcopenic liver transplant recipients. METHODS We retrospectively reviewed 348 liver transplant recipients with perioperative CT scans. Analytic morphomic techniques were used to assess trunk muscle size via total psoas area (TPA). One-yr major complication and FTR rates were calculated across TPA tertiles. RESULTS The one-yr complication rate was 77&#37; and the FTR rate was 19&#37;. Multivariate regression showed TPA as a significant predictor of FTR (OR &#61; 0.27 per 1000 mm(2) increase in TPA, p &#60; 0.001). Compared to patients in the largest muscle tertile, patients in the smallest tertile had 1.4-fold higher adjusted complication rates (91&#37; vs. 66&#37;) and 2.8-fold higher adjusted FTR rates (22&#37; vs. 8&#37;). DISCUSSION These results suggest that mortality in sarcopenic liver transplant recipients may be strongly related to FTR. Efforts aimed at early recognition and management of complications may decrease postoperative mortality. Additionally, this work highlights the need for expanded multicenter collaborations aimed at collection and analysis of postoperative complications in liver transplant recipients."
Starting a Surgical Home,2015-12-00,Ann Surg. 2015 Dec&#59;262(6)&#58;901-3. doi&#58; 10.1097/SLA.0000000000001250.,https://www.ncbi.nlm.nih.gov/pubmed/25894417,Abstract unavailible
One-year postoperative resource utilization in sarcopenic patients,2015-11-00,J Surg Res. 2015 Nov&#59;199(1)&#58;51-5. doi&#58; 10.1016/j.jss.2015.04.074. Epub 2015 Apr 30.,https://www.ncbi.nlm.nih.gov/pubmed/25990695,"BACKGROUND It is well established that sarcopenic patients are at higher risk of postoperative complications and short-term health care utilization. Less well understood is how these patients fare over the long term after surviving the immediate postoperative period. We explored costs over the first postoperative year among sarcopenic patients. METHODS We identified 1279 patients in the Michigan Surgical Quality Collaborative database who underwent inpatient elective surgery at a single institution from 2006-2011. Sarcopenia, defined by gender-stratified tertiles of lean psoas area, was determined from preoperative computed tomography scans using validated analytic morphomics. Data were analyzed to assess sarcopenia&#39;s relationship to costs, readmissions, discharge location, intensive care unit admissions, hospital length of stay, and mortality. Multivariate models were adjusted for patient demographics and surgical risk factors. RESULTS Sarcopenia was independently associated with increased adjusted costs at 30, 90, and 180 but not 365 d. The difference in adjusted postsurgical costs between sarcopenic and nonsarcopenic patients was &#36;16,455 at 30 d and &#36;14,093 at 1 y. Sarcopenic patients were more likely to be discharged somewhere other than home (P &#60; 0.001). Sarcopenia was not an independent predictor of increased readmission rates in the postsurgical year. CONCLUSIONS The effects of sarcopenia on health care costs are concentrated in the immediate postoperative period. It may be appropriate to allocate additional resources to sarcopenic patients in the perioperative setting to reduce the incidence of negative postoperative outcomes."
Morphomics predicts response to ipilimumab in patients with stage IV melanoma,2015-09-00,J Surg Oncol. 2015 Sep&#59;112(4)&#58;333-7. doi&#58; 10.1002/jso.24003. Epub 2015 Aug 7.,https://www.ncbi.nlm.nih.gov/pubmed/26251199,"INTRODUCTION Factors predictive of response to immunotherapy are needed to select appropriate patients. As morphometric analysis can be an objective surrogate for underlying physiology, we explored the possibility that morphomics may predict response among stage IV melanoma patients treated with ipilimumab. METHODS We identified stage IV melanoma patients treated with ipilimumab who had an appropriate CT scan within a 6 month window. Using semi-automated algorithms, we acquired several morphomic measurements. Toxicity and response rate compared by quartile using Fisher's exact test or chi-square, while survival after initiation of ipilimumab was compared by quartile using the log-rank test. RESULTS While there was a significant correlation between toxicity and response (P &#60; .003), morphomics failed to predict either severity of toxicity or specific side effects. Psoas density was significantly associated with response rate, both excluding stable disease (36.4&#37; vs 9.1&#37;, P &#61; .054), and including stable disease (54.5&#37; versus 18.2&#37;, P &#61; 0.045). Survival after initiation of ipilimumab was significantly associated with psoas density (P &#61; 0.04) and visceral fat distance (P &#61; 0.022). DISCUSSION In an exploratory study of patients with metastatic melanoma being treated with ipilimumab, psoas density and spine-fascia distance correlated with response and survival. Pre-treatment morphomic analysis, as a correlate of underlying physiology, may help predict response to immunotherapy."
A Computed tomography study of gender differences in acetabular version and morphology&#58; implications for femoroacetabular impingement,2015-07-00,Arthroscopy. 2015 Jul&#59;31(7)&#58;1247-54. doi&#58; 10.1016/j.arthro.2015.02.007. Epub 2015 May 13.,https://www.ncbi.nlm.nih.gov/pubmed/25979688,"PURPOSE To assess the prevalence of acetabular retroversion in a large population of patients with asymptomatic hips. Furthermore, we sought to identify gender differences in acetabular morphology to address the current thinking that retroversion and pincer-type femoroacetabular impingement (FAI) are more common in women. METHODS We retrospectively reviewed morphologic features of acetabula from a consecutive series of trauma-protocol computed tomography scans of patients without pelvis injury. An automated algorithm determined the acetabular rim profile and center of the femoral head, normalized the frontal plane of the pelvis, and calculated version and coverage. We then compared male and female rim profiles, specifically focusing on version and acetabular wall coverage in the 1-o&#39;clock (anterosuperior), 2-o'clock (central), and 3-o'clock (inferior) positions. RESULTS Of 1,088 patients in the database, 878 had complete data (i.e., age, ethnicity, and body mass index) and were therefore included in the final analysis. Of these, 34.3&#37; were women and 65.7&#37; were men. Mean global acetabular version was 19.1&#176; for men and 22.2&#176; for women (P &#60; .001). Mean acetabular version for men and women was 15.5&#176; and 18.3&#176;, respectively, in the 1-o&#39;clock position; 21.5&#176; and 24.0&#176;, respectively, in the 2-o&#39;clock position&#59; and 20.2&#176; and 24.3&#176;, respectively, in the 3-o&#39;clock position (P &#60; .001 for all 3). True retroversion (&#60;0&#176;) was observed only in the 1-o&#39;clock position. The prevalence of true acetabular retroversion in the 1-o&#39;clock position for men and women was 4.3&#37; and 3&#37;, respectively (P &#61; .36). CONCLUSIONS Mean global and focal acetabular anteversion was greater in women, and the prevalence of focal cephalad retroversion in the 1-o&#39;clock position was not significantly different compared with men. Acetabular retroversion and anterior overcoverage are not more prevalent in women in the anterosuperior acetabulum, where femoroacetabular impingement most commonly occurs. LEVEL OF EVIDENCE Level III, diagnostic study."
Sarcopenia is associated with autologous transplant-related outcomes in patients with lymphoma,2015-00-00,Leuk Lymphoma. 2015&#59;56(10)&#58;2855-62. doi&#58; 10.3109/10428194.2015.1014359. Epub 2015 Jun 18.,http://www.ncbi.nlm.nih.gov/pubmed/25739940,"Sarcopenia is associated with treatment-related complications and shorter overall survival in patients with cancer. Psoas area indices were calculated for 121 patients with lymphoma who underwent autologous transplant. Controlling for age, body mass index, comorbidities and performance status for the 73 men included, the hazard ratio (95% confidence interval, CI) for non-relapse mortality was 2.37 (1.01, 5.58), p &#61; 0.048 for every 100 unit decrease in total psoas index and 2.67 (1.04, 6.86), p &#61; 0.041 for every 100 unit decrease in lean psoas index. Men with a lower total psoas index experienced more complications (p &#61; 0.001) and spent more days in hospital (p &#61; 0.03) during the transplant admission. A strong association existed between sarcopenia and number of hospital days in the 100 days following transplant among both men (p &#60; 0.0001) and women (p &#60; 0.0001). Sarcopenia may impact negative outcomes after autologous transplant thereby serving as a potentially modifiable predictor of outcomes and aiding in treatment selection."
