last_name,first_name,degree,title,headshot,bio,group
Goulet,James,M.D.,"Service Chief; Professor, Orthopaedic Surgery, Trauma, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/james_goulet.png,"Dr. Goulet has 28 years of experience as a surgeon and as a clinician- academician; he has a strong record of successful pre-clinical and clinical research programs. Currently, his efforts focus on clinical management and tracking of patients with fragility fractures, including establishment of complementary fragility fracture services and geriatric fracture services. His contributions to science have focused on clinically related areas. Initially, the focus was on the biomechanics of clinical fracture fixation. Based on the high variability of bone formation in clinical models of distraction osteogenesis, he became interested in creating a more predictably favorable environment for bone formation. Dr. Goulet worked with a team to develop a model to explore the relationship between bone formation and the mechanical environment to bone formation in distraction osteogenesis. Using microCT and mechanical testing, he demonstrated significant differences between bone formed under conditions of continual tension and bone formed during fracture healing, and reported on variations in bone formation related to the stability of external fixation and the pattern of bone distraction. Most recently, Dr. Goulet has been involved in using engineering segmentation applications to create high throughput analysis of CT scans to determine variability in bone shape and density. Each of the projects have been highly clinically oriented to answer specific and directed clinical questions. Our initial publications have studied the shape of the femur to aid in better design of femoral intramedullary implants and the shape of the sacrum to better determine safe pathways for placement of screws used for sacral fracture fixation.",faculty
Holcombe,Sven,M.S.,"Crash Safety Engineer, ICAM/MAG",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/sven_holcombe.png,"Sven is currently completing his PhD in Biomedical Engineering. He received dual degrees in Engineering (Mechatronics) and Information Technology (Software Development) from the Australian National University in his hometown of Canberra, Australia. Sven's crash safety career began in Tsukuba, Japan, where he worked for four years in the impact biomechanics group at the Japan Automobile Research Institute, developing Finite Element Human Body Models for predicting injuries that a person may sustain during a car crash. Since moving to Michigan in 2008, Sven has developed the University of Michigan's Morphomics Analysis System, which takes measurements of body size and shape from CT scans along with precise measures of bone, muscle, and fat composition. His own research then uses this data to describe how we all differ as individuals of a larger population, in ways that are used both by engineers to improve car safety systems and doctors to improve surgical care and treatment outcomes.",faculty
Kwon,Richard Soon Young,M.D.,"Assistant Professor, Internal Medicine, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/richard_kwon.png,"Dr. Kwon received his medical degree from UCLA and a Masters in Science (Clinical Research Design and Statistical Analysis) from the University of Michigan.  He is an interventional endoscopist and pancreatologist.  His research centers around the application of novel technology to improve the care of patients with pancreatic disease, including cystic neoplasms, pancreatic cancer, and acute and chronic pancreatitis.",faculty
Lee,Honglak,Ph.D.,"Assistant Professor, Computer Science and Engineering, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/honglak_lee.png,"Dr. Lee received his Ph.D. from Computer Science Department at Stanford University in 2010, advised by Prof. Andrew Ng. His primary research interests lie in machine learning, which spans over deep learning, unsupervised and semi-supervised learning, transfer learning, graphical models, and optimization. He also works on application problems in computer vision, audio recognition, robot perception, and text processing. His work received best paper awards at ICML (2009) and CEAS (2005). He has served as a guest editor of IEEE TPAMI Special Issue on Learning Deep Architectures, as well as area chairs and senior program committee of ICML, NIPS, IJCAI, and ICCV.  He received the Google Faculty Research Award in 2011, and was selected by IEEE Intelligent Systems as one of AI's 10 to Watch in 2013.",faculty
Levi,Benjamin,M.D.,"Assistant Professor, Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/benjamin_levi.png,"Dr. Levi completed his undergraduate education at Washington University, medical school at Northwestern University and Plastic and Reconstructive Surgery residency at the University of Michigan. During this time he completed a 2 year post-doctoral research fellowship at Stanford University. He recently completed a fellowship in Burn and Surgical Critical Care at Massachusetts General Hospital. Benjamin has been involved in Burn research since High School when given the opportunity to work in the Burn Laboratory of Richard Gamelli MD and Luisa DiPietro DDS, PhD. Subsequently, and for three consecutive summers, he worked in the Burn and Shock Trauma laboratory of Dr. Gamelli and Dr. Luisa DiPietro with a focus on wound healing and inflammation. Inspired by this experience, he remained active in research throughout medical school and residency and he dedicated two years of additional training to do a basic science research fellowship in stem cell biology and bone tissue engineering at Stanford University under Dr. Michael Longaker. During this time, he focused on basic stem cell biology, mesenchymal stem cell (MSC) osteogenesis, and bone tissue engineering. Since returning to the University of Michigan, Dr. Levi has founded the Burn/Wound and Regenerative Medicine Laboratory along with Dr. Wang. This lab has focuses on the significant clinical problem of heterotopic ossification. Specifically, Dr. Levi has developed new animal models to study this complex process and is working to improve early diagnostic and treatment modalities.",faculty
Lin,Jules,M.D.,"Assistant Professor, Thoracic Surgery, University of Michigan; Surgical Director of the Lung Transplant Program",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/jules_lin.png,"Dr. Lin was a Phi Beta Kappa graduate of Indiana University and received his undergraduate degree with highest distinction in 1995. He ceceived his medical degree from Harvard Medical School in 1999 and completed his General Surgical Residency in 2006 at the University of Michigan. During this time, he also completed a Surgical Critical Care Fellowship in 2003 and a research fellowship in the Thoracic Surgery Tumor Biology Laboratory in 2004 for which he received the Moses Gunn Young Investigator and James Crudup Awards. He completed his Cardiothoracic Surgery Residency at the University of Washington. Dr. Lin specializes in general thoracic surgery and is interested in the treatment of lung and esophageal cancer, minimally-invasive approaches, atracheobronchial resection and reconstruction, sympathectomy for hyperhidrosis, and lung transplantation. His research interests include investigating the molecular biology of esophageal and lung carcinoma and translating these findings into new techniques for screening, staging, and tailoring therapies for individual patients. He is also interested in using morphometric analysis of preoperative chest CT scans to identify CT characteristics that are associated with outcomes after lung transplantation as well as pulmonary and esophageal resection for cancer.",faculty
Lok,Anna Suk Fong,"M.D., FRCP, FAASLD, AGAF","Professor, Hepatology",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/anna_lok.png,"Dr. Lok obtained her medical degree from University of Hong Kong and hepatology training at the Royal Free Hospital in London under the late Dame Sheila Sherlock.  She was a faculty at the University of Hong Kong until she moved to the United States in 1992. Her research focus on natural history and treatment of hepatitis B and C. She has published more than 400 papers on viral hepatitis and liver diseases including the American Association for the Study of Liver Diseases (AASLD) guidelines on &#34;Hepatitis B&#34;. She was one of the top 1% most cited researchers in the world for the period 2002-2012. Dr. Lok has received many awards throughout her career including the Distinguished Scientist Award from the Hepatitis B Foundation and the Distinguished Women Scientist Award from the American Gastroenterological Association in 2008, the Distinguished Service Award from the AASLD in 2011, and the Distinguished Scientific Achievement Award from the American Liver Foundation in 2015. She served as Associate Editor of HEPATOLOGY in 2002-6, co-Editor of Journal of Viral Hepatitis in 2007-9 and a Senior Associate Editor of GASTROENTEROLOGY in 2011-2012. Dr. Lok is the Director of Clinical Hepatology and Associate Chair for Clinical Research in the Department of Internal Medicine at the University of Michigan. She is currently President-Elect of the AASLD.",faculty
Miller,Barbra S.,M.D.,"Assistant Professor of Surgery, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/barb_miller.png,"Dr. Miller received her medical degree from the University of Cincinnati College Of Medicine and went on to complete both an internship and a residency in general surgery at University of Texas Southwestern in Dallas, Texas. Dr. Miller was the First Norman W. Thompson, M.D., Fellow in Endocrine Surgery at University of Michigan. She then served as Assistant Professor in the Endocrine Surgery Division at the University of Texas Health Science Center in San Antonio before re-joining the University of Michigan Department of Surgery in 2007. Her entire practice is focused on endocrine surgery. She is a member of the multidisciplinary endocrine oncology team.",faculty
Sabel,Michael S.,"M.D., FACS","Associate Professor of Surgery; Chief of Surgical Oncology, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/michael_sabel.png,"Dr. Sabel is the Chief of Surgical Oncology at the University of Michigan. He received his undergraduate degree at Pennsylvania State University and his medical degree from Temple University School of Medicine in Philadelphia. He completed his general surgery training at Rush-Presbyterian-St. Luke's Medical Center and then completed a research fellowship in tumor immunology/immunotherapy and surgical oncology fellowship at Roswell Park Cancer Institute in Buffalo, NY.  Dr. Sabel joined the faculty of University of Michigan in 2001. Dr. Sabel's clinical interests are in the area of surgical oncology, with special expertise in breast cancer and melanoma. Dr. Sabel's research interests focus on the immune response to cancer cell death, particularly after cryoablation (freezing) of cancer, and he is an internationally recognized expert in the field of cryo-immunology. Dr. Sabel's lab is also focused on the identification of prognostic and predictive markers in oncology, using both serum proteomic and tissue microarray approaches, to help guide surgical and adjuvant therapy.  He is particularly interested in the use of morphomics for this purpose, particularly the prediction of both response and toxicity associated with biologic therapies. In addition to his clinical and basic science interests, Dr. Sabel has strong clinical interests in the use of mobile technologies to improve patient-physician communication and improve outcomes. He is the creator of two present apps; UMSkinCheck for self skin exam and early melanoma detection, and BreastCancerAlly, a mobile patient navigator app for patients with breast cancer, with several more in development.",faculty
Stidham,Ryan,"M.D., MSc","Assistant Professor of Medicine, Division of Gastroenterology Inflammatory Bowel Disease Program",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/ryan_stidham.png,"Dr. Stidham received his medical degree from the university of Virginia, completed training in Internal Medicine at the University of Pennsylvania. He was a a NIH T-32 fellow in Gastroenterology at the University of Michigan. Dr. Stidham holds a Master's degree in Clinical Research Design and Statistical Analysis from the University of Michigan School of Public Health. His research focus is the development of tools to predict the expected degree of therapeutic response and the probability of avoiding intestinal surgery in Crohn's disease and ulcerative colitis. He has received funding from the National Institutes of Health, the Crohn's and Colitis Foundation of America, the Broad Foundation, and several industry-sponsored grants.",faculty
Waljee,Akbar,M.D.,"Assistant Professor, Internal Medicine, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/akbar_waljee.png,"Dr. Waljee received his MD from Emory University and holds a Masters in Health and Health Care Research from the UM Robert Wood Johnson Masters Program. He has conducted research on the management of medical and surgical therapies in inflammatory bowel disease, the quality of life issues faced by those with these chronic conditions, and the use of novel machine learning techniques as decision support systems.",faculty
Wang,Lu,Ph.D.,"Associate Professor of Biostatistics, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/lu_wang.png,"Dr. Wang received her Ph.D in Biostatistics from Harvard University in 2008 and joined the faculty at the University of Michigan in the same year. Dr. Wang's research focuses on statistical methods for evaluating dynamic treatment regimes, personalized health care, nonparametric and semiparametric regressions, missing data analysis, functional data analysis, and longitudinal (correlated/clustered) data analysis. She has joined the Morphomic Analysis Group since 2010, and has been working on various projects related to morphomics data analysis.",faculty
Zhang,Peng,Ph.D.,"Research Assistant Professor, University of Michigan",http://med.umich.edu/surgery/stewartcwang/team_headshots/faculty/peng_zhang.png,"Dr. Zhang received his undergraduate degree in Mathematics from Peking University in Beijing, China, and his doctoral degree in Biostatistics from Harvard University. His primary research interest is to design personalized treatment decision support and strategies through Analytic Morphomics. Dr. Zhang has investigated the associations between morphomic fat measures and a number of clinical outcomes, and has consistently found that morphomic fat measures are better risk markers compared to routine demographics in revealing the heterogeneity of patient population. His past work includes studies of injuries in motor vehicle crashes, surgical site infections in hernia repair, and musculoskeletal quality degradation due to fat infiltration. Currently, he is extending his research to the area of type-2 diabetes and non-alcoholic fatty liver disease.",faculty
Bollinger,Terri,R.N.,"Trauma Burn Unit, University of Michigan Health System (UMHS), ICAM",http://med.umich.edu/surgery/stewartcwang/team_headshots/staff/terri_bollinger.png,"Terri has been a nurse for 20 years at the UMHS.  She also works for ICAM as a researcher. She received her BSN from the University of Michigan. She has presented a poster to the National Teaching Institute of the Association of Critical Care Nurses and has collaborated on several others.  Currently, Terri is involved in several studies working with septic and diabetic patients at UMHS.",staff
Brown,Edward,,,http://med.umich.edu/surgery/stewartcwang/team_headshots/staff/edward_brown.png,"Edward received degrees in Systems Engineering and Economics from the University of Virginia. Prior to coming to the University of Michigan, he worked as a systems engineer and an data scientist in projects raging from the tracking of antibiotic resistant bacteria to the prediction of hate crimes in Louisiana. He developed an expertise in spatial modeling while working on software which aided soldiers in Afghanistan and Iraq better understand the factors involved in road side bomb emplacement. He is passionate about leveraging insights from data to improve decision making and he helps researchers do that with the lab's Morphomics data. ",staff
Cunningham,Kristen,MPA,"Technical Project Manager, MAG/Michigan Surgical & Health Optimization Program (MSHOP)",http://med.umich.edu/surgery/stewartcwang/team_headshots/staff/kristen_cunningham.png,"For 10 years prior to coming to the University, Kristen worked in local government in southeastern Michigan. She was hired by the University of Michigan in 2008 on a federal grant that assisted communities in responding to automotive manufacturing decline in the auto belt states. Since then, she has continued her work with the University as a project manager for both technical and data analysis projects. Kristen earned her B.A. from Michigan State University, James Madison College, in Political Theory & Constitutional Democracy, and a Master of Public Administration from Eastern Michigan University.",staff
Crain-Polly,Missy,,Crash Specialist,http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/missy_crain_polly.png,Missy is the newest member to the ICAM crash investigation team. Missy brings a law enforcement background to the group and recently served as a sheriff’s deputy for a nearby county agency over the past several years. Missy’s knowledge of traffic and crash related incidents offers insight and a strong working relationship with local law enforcement personnel. Missy has a B.F.A. in Graphic Design from Western Kentucky University.,staff
Derstine,Brian,M.S.,"Data Scientist, Morphomics Analysis Group",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/brian_derstine.png,"Brian received his B.A. from University of Chicago and his M.S. from University of California, Berkeley.  Prior to coming to the University of Michigan, he worked in private industry for over 10 years as a data analyst, consultant, and project manager in consumer goods marketing research, internet marketing, and transportation software development.  He specializes in R, Tableau, and SQL for data management, visualization, and analysis and helps to organize and shepherd the lab&#39;s clinical research projects from conception to publication.",staff
Enchakalody,Binu,M.S.,"Research Software Engineer, MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/binu_enchakalody.png,"He received his Bachelors in Biomedical Engineering from Cochin University, India in 2000 after which he completed his M.S. with a thesis in Biomedical Engineering from Wright State University, Ohio in 2008. After graduation, he worked at iCAD, Inc. and Monsanto as an Image Processing Engineer before joining MAG in 2010. He actively collaborates with medical researchers and data experts to create automated and semi-automated tools to analyze and predict the variations in human and animal body structures.",staff
Fast,Anne,R.N.,"Level E Clinical Nurse, Michigan State Burn Coordination Center, University of Michigan Hospital, Trauma Burn Unit",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/anne_fast.png,"Anne received her RN diploma in 1984 from the Hurley School of Nursing and her BSN from the University of Michigan-Flint in 2004. She began her nursing career at Hurley Medical Center in 1984 working in the Neuro/Trauma unit. In 1988, she took the Oath of Office and became an officer in the United States Army Reserve. She was in charge of the DEPMEDS (Deployable Medical Systems) section of the 323rd Combat Support Hospital in which she was instrumental in designing, moving, and building a transportable hospital in the field of combat. She was awarded numerous medals for her training of the personnel for preparedness, and separated in 2001. She came to Trauma Burn Unit in 1999 as a staff nurse. From 2008 to 2012 she was Nursing Supervisor for the Trauma Burn Unit; she now splits her time between staffing and training.  She has a passion for educating and when the opportunity arose to work with Dr. Wang and the State of Michigan Burn Disaster Plan she found her dream. Anne trains and educates personnel around the state in preparing for a disaster resulting in a large number of burn victims. She is active in the American Burn Association (ABA) Disaster SIG in which she is the co-chair. She has presented at local, state, and national level conferences regarding the State of Michigan Burn Plan.",staff
Henderson,Brianna,,"Research Area Specialist Associate, Pediatric Surgery",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/brianna_henderson.png,"Brianna received her B.A. from the University of Michigan in May 2014. As an undergraduate, Brianna worked for ICAM as a Research Assistant and collaborated on various projects using Analytic Morphomics. After graduation, she worked as a Research Assistant at the University of Michigan-School of Public Health on the Household Influenza Vaccine Effectiveness (HIVE) study where she recruited eligible households to see how well the influenza vaccine worked in preventing influenza. Currently, Brianna is collaborating with Peter Ehrlich, M.D. MSc, on a study which looks at the injury patterns of children who have been in motor vehicle crashes by using Analytic Morphomics. Brianna is planning to pursue a Master's degree in Public Health to further her career in research in order to help make the world safer for generations to come.",staff
Hwang,Eunjoo,,"Research Specialist, Intermediat, Biomechanics, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/eunjoo_hwang.png,"Eunjoo have a master degree in Mechanical Engineering at the University of Michigan and an interdepartmental doctoral degree in Biomedical Engineering and Kinesiology at the University of Michigan. As a postdoctoral research fellow, Eunjoo worked in the Biosciences Group at the University of Michigan Research Transportation Institute. Her current areas of expertise are in constitutive modeling of the musculoskeletal bone and soft tissue, orthopaedic biomechanics, injury mechanics, and computational mechanics.To understand the mechanism of tissue failure, disease or injury, to better treat the disease or prevent the injury, and to design the biomedical or health care devices, her approach to research biomechanics is strongly collaborative and interdisciplinary. She actively collaborated clinicians in the Department of Orthopadics for her doctoral degree, and co-worked with automotive industries for her post-doctoral fellowship. Currently, she is working on the development of the elderly human body model based on the population-based morphomic data, and is studying on femur and rib bone to use the current morphomic data for biomechanical research. ",staff
Knox,Carol,,"Administrative Assistant to the Director and Associate Director, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/carol_knox.png,"Carol has recently returned to the University of Michigan after a long hiatus that included raising children and a stint in the fiber arts industry.  After obtaining a degree in Russian Language and Literature at Oklahoma State University in 1990, Carol came to work at the University of Michigan in the Reproductive Sciences Program in 1992.",staff
Kohoyda-Inglis,Carla,MPA,"Program Director, ICAM/UMPIRE",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/carla_kohoyda_inglis.png,Carla received a Master's of Public Administration from the Gerald R. Ford School of Public Policy at the University of Michigan in 2006.  She has worked in the field of crash research since 1997 and is a valuable member of the University of Michigan Program for Injury Research and Education (UMPIRE) team.,staff
League,Lauren,,"Web Designer, ICAM/MAG",http://www.med.umich.edu/surgery/stewartcwang/team_headshots/staff/lauren_league.png,"Part designer, part developer, Lauren creates vibrant images and interfaces that enable us to make a connection with our audience. In 2014, she earned a dual bachelor's degree from The University of Michigan in both Design and Psychology, a unique combination that gave her insight on how products can be designed for human interaction. Lauren has a passion for technology and has been learning programming skills for fun over the past 3 years. Combining design, psychology, and technology, she works towards making an audience's experience simple, informative, and most importantly, enjoyable.",staff
